,Forca_maxima_acc_x,Forca_maxima_acc_y,Forca_maxima_grav_x,Forca_maxima_grav_y,Desplacament_maxim_x,Desplacament_maxim_y,Prova,Puntuacio,Edat,Etiqueta
49,0.04759072285360166,0.028270040586277044,0.00034022638879559544,3.5249086059591095e-05,0.6398704500681338,1.20965543911374,ROC,100.0,69,ib53f
50,0.03433267941482658,0.04684960105849428,0.00022556478184613746,9.037956935610894e-05,0.8687690722607146,0.9340621974031569,RGA,100.0,69,ib53f
51,0.1729538680598413,0.33181079361199295,0.057867394180259,0.022503790411312015,0.957088278653838,0.7087571374638524,RGC,56.908351,69,ib53f
52,0.01415608687596268,0.004633690800629163,3.57900235586385e-05,0.027909065149421857,0.8854874975044151,1.4146963494029614,ROA,100.0,69,ct52m
53,0.014356559170338342,0.003963112654040847,3.545347983021502e-05,0.030674584768408147,0.5936467283958564,0.7633414284697355,ROC,100.0,69,ct52m
54,0.019929816943839253,0.005206086201104489,0.00011017201289764689,0.028443838095623585,0.723996035797883,0.44878587763430944,RGA,100.0,69,ct52m
55,0.04974871268925482,0.01700012310258714,0.0002682329757673074,2.5964760241359297e-05,0.04974734552390882,0.026330669556381556,RGC,100.0,69,ct52m
56,0.005285965892999133,0.012560663894377527,0.029514815038929734,5.223985502841172e-06,1.068344233322251,0.7636033167816927,ROA,100.0,69,jf53m
57,0.007439589446245079,0.013208828933095315,0.029543941070196738,8.875277371318824e-06,0.8753380252466683,0.6068792987931753,ROC,100.0,69,jf53m
58,0.009025618980164813,0.03089349477700979,0.029179802322036753,4.922634309187726e-05,0.7599264782340623,1.058848823728347,RGA,97.553062,69,jf53m
59,0.023332837235173515,0.07723056667107125,0.02957089784260197,0.00025460097323889985,1.6440614253492085,0.648679552488755,RGC,91.458809,69,jf53m
60,0.008122799559375265,0.02324368115383052,1.4917501953967682e-05,8.229457226993642e-05,0.8237316602094545,0.7862934942118796,ROA,100.0,69,ig52f
61,0.00904190403285976,0.030512645621185244,1.692598246727517e-05,0.0001642979931735858,0.8045365725769484,1.0182588874498333,ROC,92.63816,69,ig52f
62,0.019486780786244273,0.03961603288563231,5.059870691402277e-05,0.0002852924097022959,0.6434025252422768,0.6368383098185533,RGA,100.0,69,ig52f
63,0.03436833788751224,0.10654765835058935,8.286292421079075e-05,0.05583242353632119,1.0392170117982282,0.8977925569614121,RGC,100.0,69,ig52f
64,0.014387092508897324,0.02033391065296982,4.080216720176236e-05,7.019424349754069e-05,1.0033559223940611,1.1762043837288496,ROA,97.964594,69,fj52f
65,0.014892868471915243,0.029806788933993064,4.6711852679574145e-05,0.00011875559987510956,0.8868935307149531,1.1369569981083736,ROC,97.946233,69,fj52f
66,0.05510154343486187,0.033913744027772016,0.0004559103612919342,0.028394519156804826,0.9008248508759773,0.8504538790490161,RGA,82.084503,69,fj52f
67,0.7176769002938717,0.3667021546774987,0.02025451636783967,0.02858743448716636,0.8872344168697925,0.5396497140170884,RGC,77.43031,69,fj52f
68,0.015745788737531435,0.017239250094834246,2.4975632032277206e-05,1.392421510115413e-05,1.1348722683773476,1.2198214026929264,ROA,100.0,69,fe53f
69,0.021110555206833227,0.017878642676464638,3.377959475545783e-05,1.5139650644938052e-05,1.6210277671285946,0.6333125186745897,ROC,100.0,69,fe53f
70,0.020013401661332388,0.025437929094780435,3.868309330717218e-05,4.945231391044469e-05,1.0328583499224322,0.8040287181602125,RGA,100.0,69,fe53f
71,0.02680110452006483,0.04360943206012288,5.350472826210623e-05,0.00011886672344976063,0.6828785176986059,1.314856520493249,RGC,99.679116,69,fe53f
72,0.010256957793209006,0.011557215795488043,0.027512023331882754,1.5613145610479662e-05,0.6302331161674058,0.9446958416646034,ROA,100.0,69,fb53f
73,0.010580058435942005,0.017759663338383108,0.02854368570339333,2.479113867637911e-05,0.7077594266864373,0.8168393861112011,ROC,96.972882,69,fb53f
74,0.008534150327239108,0.01955094664487965,0.029624477103246494,2.7928983597144685e-05,1.1573622390450693,1.524149609118404,RGA,100.0,69,fb53f
75,0.02086714093041813,0.04630969947040479,0.028868188645291386,0.00011570412315950115,0.6451623500244811,0.5623190405694958,RGC,95.767391,69,fb53f
76,0.038889442444187156,0.015350617033725818,7.445857641502282e-05,9.197189245348236e-05,0.5318754115638634,0.565665708025633,ROA,100.0,69,vm54f
77,0.03035491721464976,0.01328319072494967,3.667788384040596e-05,5.542996573384279e-05,0.4893238604548756,0.7301960875030848,ROC,100.0,69,vm54f
78,0.07228704561713234,0.03701690966920345,0.00022666777577539515,0.00020390488127333684,1.5464159396103545,0.89082360111015,RGA,100.0,69,vm54f
79,0.38718788508061086,0.45739689360366975,0.03181994778906472,0.05862711354261024,0.6438490888213522,0.5759347125598357,RGC,0.0,69,vm54f
80,0.013041081181572985,0.0026744186821668,4.787902447360784e-05,0.0306102927679512,1.1204148196474688,1.0295291658280847,ROA,100.0,70,pg52f
81,0.012615464431558164,0.0024147350043120207,3.1120659276857865e-05,0.02835157272824035,1.2211715184706402,0.6354191424819768,ROC,100.0,70,pg52f
82,0.013607400529175567,0.006898345038206605,6.331018788486784e-05,0.029359488933448457,1.2422291646619619,0.8679200473175297,RGA,100.0,70,pg52f
83,0.09151555147373604,0.04219863063866765,0.08012310752504913,0.02867326749008349,1.0101395332479988,1.1117109337355746,RGC,76.76236,70,pg52f
84,0.008579729205073803,0.1392184250076704,0.028064927098580668,0.029090272440138572,1.0422120856957735,0.985875511808576,ROA,100.0,70,fdr52
85,0.008285608231319418,0.13850200047805636,3.2917228192347325e-05,0.0575525543396178,1.1653229197060395,0.9166842835803621,ROC,100.0,70,fdr52
86,0.013193280703888529,0.041771900237347,0.00010000545675226818,0.00032647900594530085,1.1525395922654647,0.6949049720859273,RGA,100.0,70,fdr52
87,0.03342330719938484,0.09337987113940545,0.028098725121657255,0.05165833710257174,0.8354034734785021,0.9819988630803782,RGC,100.0,70,fdr52
88,0.011806104131580487,0.01414902256792559,2.1615875988617583e-05,5.577742819369569e-05,0.8908973665267538,0.6900728437585785,ROA,98.008014,70,rm52f
89,0.0169699815582065,0.019859139254707,4.298832191474214e-05,0.00010738475925717306,0.47824428514834927,1.3346785342097733,ROC,98.833043,70,rm52f
90,0.020340111621901504,0.06233564676259919,5.9847381882575934e-05,0.000403494593825493,0.6906076899797856,0.9314545301200523,RGA,100.0,70,rm52f
